Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
EQT,EQT Corporation,36.18B,18.882736,23.00397,3.07,30.675,,,,,,,,,,,
ERIE,Erie Indemnity Company,14.89B,22.989508,21.256718,12.39,2.353,,,,,,,,,,,
ES,Eversource Energy,27.40B,20.176796,15.280334,3.62,188.224,,,,,,,,,,,
ESS,"Essex Property Trust, Inc.",17.99B,19.803804,43.25914,13.15,115.144,,,,,,,,,,,
ETN,Eaton Corporation plc,145.17B,37.451904,31.018255,9.98,59.661,,,,,,,,,,,
ETR,Entergy Corporation,43.40B,23.938425,12.556849,4.06,179.362,,,,,,,,,,,
EVRG,"Evergy, Inc.",17.40B,20.709587,18.710396,3.65,142.45,,,,,,,,,,,
EW,Edwards Lifesciences Corporation,48.39B,36.574562,34.036736,2.28,6.862,,,,,,,,,,,
EXC,Exelon Corporation,46.59B,16.562723,17.570341,2.79,177.601,,,,,,,,,,,
EXE,Expand Energy Corporation,26.78B,36.157555,26.521227,3.11,27.95,,,,,,,,,,,
EXPD,"Expeditors International of Washington, Inc.",18.42B,22.382736,25.544607,6.14,24.549,,,,,,,,,,,
EXPE,"Expedia Group, Inc.",31.64B,24.879576,17.983984,10.38,249.826,,,,,,,,,,,
EXR,Extra Space Storage Inc.,29.51B,29.794184,27.861921,4.47,94.252,,,,,,,,,,,
F,Ford Motor Company,52.64B,11.290599,7.5485716,1.17,346.673,,,,,,,,,,,
FANG,"Diamondback Energy, Inc.",41.16B,10.087781,9.812158,14.24,35.66,,,,,,,,,,,
FAST,Fastenal Company,46.90B,38.177567,18.652967,1.07,13.283,,,,,,,,,,,
FCX,Freeport-McMoRan Inc.,57.16B,27.839163,18.430555,1.43,30.589,,,,,,,,,,,
FDS,FactSet Research Systems Inc.,9.83B,16.88746,14.057816,15.55,71.282,,,,,,,,,,,
FDX,FedEx Corporation,61.84B,15.362837,11.520439,17.06,,,,,,,,,,,,
FE,FirstEnergy Corp.,26.51B,19.956522,15.882353,2.3,193.669,,,,,,,,,,,
FFIV,"F5, Inc.",14.18B,20.825424,15.957144,11.8,6.424,,,,,,,,,,,
FI,"Fiserv, Inc.",34.26B,9.845441,6.251227,6.47,120.581,,,,,,,,,,,
FICO,Fair Isaac Corporation,41.77B,65.36439,46.811947,26.62,,,,,,,,,,,,
FIS,"Fidelity National Information Services, Inc.",33.55B,202.4375,11.345009,0.32,94.272,,,,,,,,,,,
FITB,Fifth Third Bancorp,28.34B,12.797015,11.745205,3.35,,,,,,,,,,,,
FOX,Fox Corporation,27.76B,13.366293,25.310638,4.45,60.136,,,,,,,,,,,
FOXA,Fox Corporation,27.76B,14.82472,17.686327,4.45,60.136,,,,,,,,,,,
FRT,Federal Realty Investment Trust,8.45B,24.705582,31.70684,3.94,138.76,,,,,,,,,,,
FSLR,"First Solar, Inc.",28.72B,20.540293,12.830297,13.03,9.893,,,,,,,,,,,
FTNT,"Fortinet, Inc.",62.67B,33.658436,33.93776,2.43,135.478,,,,,,,,,,,
FTV,Fortive Corporation,16.27B,20.16929,12.285372,2.54,52.244,,,,,,,,,,,
GD,General Dynamics Corporation,93.55B,22.416828,21.538557,15.45,40.419,,,,,,,,,,,
GDDY,GoDaddy Inc.,17.84B,22.763792,19.676601,5.8,4217.211,,,,,,,,,,,
GE,GE Aerospace,324.11B,41.13387,58.639313,7.47,115.246,,,,,,,,,,,
GEHC,GE HealthCare Technologies Inc.,33.28B,15.124225,15.642399,4.83,105.127,,,,,,,,,,,
GEN,Gen Digital Inc.,15.87B,28.318682,10.518368,0.91,354.131,,,,,,,,,,,
GEV,GE Vernova Inc.,156.04B,93.517075,83.35217,6.15,11.101,,,,,,,,,,,
GILD,"Gilead Sciences, Inc.",147.60B,18.396284,15.9946165,6.46,115.492,,,,,,,,,,,
GIS,"General Mills, Inc.",25.01B,8.862004,9.974469,5.29,151.352,,,,,,,,,,,
GL,Globe Life Inc.,10.53B,9.596518,9.75941,13.78,47.719,,,,,,,,,,,
GLW,Corning Incorporated,73.29B,54.794876,37.00433,1.56,76.51,,,,,,,,,,,
GM,General Motors Company,66.00B,13.501909,6.6934724,5.24,195.437,,,,,,,,,,,
GNRC,Generac Holdings Inc.,9.11B,29.69216,18.914738,5.23,56.133,,,,,,,,,,,
GOOG,Alphabet Inc.,3.37T,27.611057,31.251398,10.13,11.424,,,,,,,,,,,
GOOGL,Alphabet Inc.,3.37T,27.55237,31.119417,10.12,11.424,,,,,,,,,,,
GPC,Genuine Parts Company,17.62B,21.800344,14.953955,5.81,133.159,,,,,,,,,,,
GPN,Global Payments Inc.,18.00B,11.537177,5.9398437,6.59,69.198,,,,,,,,,,,
GRMN,Garmin Ltd.,38.69B,24.803947,26.965147,8.11,2.342,,,,,,,,,,,
GS,"The Goldman Sachs Group, Inc.",235.85B,15.976027,18.920597,49.22,586.142,,,,,,,,,,,
GWW,"W.W. Grainger, Inc.",45.41B,26.736841,22.679647,35.72,68.67,,,,,,,,,,,
HAL,Halliburton Company,23.20B,18.258278,8.483077,1.51,83.613,,,,,,,,,,,
HAS,"Hasbro, Inc.",10.75B,,17.284426,-3.99,771.392,,,,,,,,,,,
HBAN,Huntington Bancshares Incorporated,24.56B,10.972028,11.708955,1.43,,,,,,,,,,,,
HCA,"HCA Healthcare, Inc.",108.76B,18.416151,19.413849,25.88,,,,,,,,,,,,
HD,"The Home Depot, Inc.",369.40B,25.245577,23.7891,14.7,580.591,,,,,,,,,,,
HIG,"The Hartford Insurance Group, Inc.",36.06B,10.590016,11.146426,12.22,23.675,,,,,,,,,,,
HII,"Huntington Ingalls Industries, Inc.",12.15B,21.363699,19.742346,14.49,58.708,,,,,,,,,,,
