Symbol,Security,Sector,Headquarters
FB,Meta Platforms,Communication Services,"Menlo Park, California"
MET,MetLife,Financials,"New York City, New York"
MTD,Mettler Toledo,Health Care,"Columbus, Ohio"
MGM,MGM Resorts International,Consumer Discretionary,"Paradise, Nevada"
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona"
MU,Micron Technology,Information Technology,"Boise, Idaho"
MSFT,Microsoft,Information Technology,"Redmond, Washington"
MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee"
MRNA,Moderna,Health Care,"Cambridge, Massachusetts"
MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia"
TAP,Molson Coors,Consumer Staples,"Chicago, Illinois"
MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois"
MPWR,Monolithic Power Systems,Information Technology,"Kirkland, Washington"
MNST,Monster Beverage,Consumer Staples,"Corona, California"
MCO,Moody's,Financials,"New York City, New York"
MS,Morgan Stanley,Financials,"New York City, New York"
MOS,The Mosaic Company,Materials,"Tampa, Florida"
MSI,Motorola Solutions,Information Technology,"Chicago, Illinois"
MSCI,MSCI,Financials,"New York City, New York"
NDAQ,Nasdaq,Financials,"New York City, New York"
NTAP,NetApp,Information Technology,"Sunnyvale, California"
NFLX,Netflix,Communication Services,"Los Gatos, California"
NWL,Newell Brands,Consumer Discretionary,"Atlanta, Georgia"
NEM,Newmont,Materials,"Denver, Colorado"
NWSA,News Corp (Class A),Communication Services,"New York City, New York"
NWS,News Corp (Class B),Communication Services,"New York City, New York"
NEE,NextEra Energy,Utilities,"Juno Beach, Florida"
NLSN,Nielsen Holdings,Industrials,"New York City, New York"
NKE,Nike,Consumer Discretionary,"Washington County, Oregon"
NI,NiSource,Utilities,"Merrillville, Indiana"
NSC,Norfolk Southern,Industrials,"Norfolk, Virginia"
NTRS,Northern Trust,Financials,"Chicago, Illinois"
NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia"
NLOK,NortonLifeLock,Information Technology,"Tempe, Arizona"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami, Florida"
NRG,NRG Energy,Utilities,"Houston, Texas"
NUE,Nucor,Materials,"Charlotte, North Carolina"
NVDA,Nvidia,Information Technology,"Santa Clara, California"
NVR,NVR,Consumer Discretionary,"Reston, Virginia"
NXPI,NXP,Information Technology,"Eindhoven, Netherlands"
ORLY,O'Reilly Automotive,Consumer Discretionary,"Springfield, Missouri"
OXY,Occidental Petroleum,Energy,"Houston, Texas"
ODFL,Old Dominion Freight Line,Industrials,"Thomasville, North Carolina"
OMC,Omnicom Group,Communication Services,"New York City, New York"
